,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
5431502,4309021345,2017-06-30T00:00:00,1140.0,,,CA,201805.0,,KIA,PA,WT,1275 UNION AVE S,6T6,56.0,22507.8C2,DISABLED PARKING/CROSS HATCH,363.0,6477833.138051,1838875.086354
277986,4276880812,2016-02-12T00:00:00,1438.0,OS248,,CA,201604.0,,AUDI,PA,GY,2040 SAWTELLE BL,00309,51.0,88.13B+,METER EXP.,63.0,6427405.6,1837382.5
1167307,4287238502,2016-07-07T00:00:00,846.0,,,CA,201606.0,,TOYT,PA,SL,1915 BUTLER AVENUE,00152,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6426053.9,1837445.9
7226545,1122762163,2018-03-23T00:00:00,1135.0,,,CA,201805.0,,TOYO,PA,WH,380 WORLD WAY LOWER,2C201,2.0,8939,WHITE CURB,58.0,6439920.11025,1802686.720124
1159625,4287127014,2016-07-06T00:00:00,1905.0,25,,CA,201604.0,,FORD,PA,BK,1420 REXFORD DR,205B,51.0,80.58L,PREFERENTIAL PARKING,68.0,6442241.6,1842482.3
559572,4279641623,2016-03-29T00:00:00,1850.0,WH122,,CA,201611.0,,HOND,PA,BK,5400 ALHAMA DR,00321,53.0,88.13B+,METER EXP.,63.0,6382354.1,1883655.9
7174639,4328728935,2018-03-22T00:00:00,1949.0,40,,CA,201810.0,,FORD,PA,BK,7051 WARING AVE,402B,54.0,80.58L,PREFERENTIAL PARKING,68.0,6457876.824519,1853589.086591
3175025,4271508113,2015-11-10T00:00:00,2307.0,,,CA,201511.0,,FORD,PA,WT,6158 STRICKLAND AVENUE,00603,56.0,80.69B,NO PARKING,73.0,6505460.8,1869000.0
7766465,4335952154,2018-07-02T00:00:00,1213.0,,,CA,201802.0,,TOYT,PA,BG,10992 ASHTON AVE,00112,51.0,5204A-,DISPLAY OF TABS,25.0,6426363.269978,1843387.6503400002
3218811,4270423802,2015-11-19T00:00:00,1406.0,WS5645,,CA,201606.0,,PORS,PA,BK,10901 SANTA MONICA BLVD W,00111,51.0,88.13B+,METER EXP.,63.0,6428962.1,1840702.1
7395537,4331286411,2018-04-19T00:00:00,841.0,CB1182,,CA,201803.0,,NISS,PA,WT,201 PICO BLVD W,00651,56.0,88.13B+,METER EXP.,63.0,6481904.869294,1836424.7382330003
8349278,4342436346,2018-10-25T00:00:00,1124.0,,,CA,201907.0,,NISS,PA,WT,3951 INGRAHAM ST,00444,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6466926.380151,1844611.13155
7706932,4334429676,2018-06-21T00:00:00,1552.0,GA157,,CA,201905.0,,SUBA,PA,MR,3301 GLENDALE BL,00611,56.0,88.13B+,METER EXP.,63.0,6482867.683525,1865665.775555
6426654,4320632551,2017-11-20T00:00:00,1511.0,,,CA,201705.0,,HOND,PA,SL,637 HUDSON AVE S,00460,54.0,5204A-,DISPLAY OF TABS,25.0,6460738.978513,1845740.060914
1618903,4253948613,2015-02-27T00:00:00,1034.0,CB2549,,CA,6.0,,VOLK,PA,BL,755 WALL ST S,00658,56.0,88.13B+,METER EXP.,63.0,6486062.7,1837374.2
8189244,4340782342,2018-09-25T00:00:00,2254.0,1,,CA,201905.0,,CHEV,PA,RD,2300 KERWOOD AVE,506A,51.0,80.58L,PREFERENTIAL PARKING,68.0,6435294.035292,1840671.164729
